"school_id","year","name","enrollment","low_income","income_label"
"610238",2015,"Carrie Jacobs Bond Elementary School",367.0,366.0,"Economically Disadvantaged"
"609839",2015,"Carroll-Rosenwald Specialty Elementary School",499.0,450.0,"Economically Disadvantaged"
"610345",2015,"Carter G Woodson South Elementary School",347.0,336.0,"Economically Disadvantaged"
"400020",2015,"Catalyst Charter ES - Howland",468.0,460.0,"Economically Disadvantaged"
"400021",2015,"Catalyst Elementary School - Circle Rock",516.0,500.0,"Economically Disadvantaged"
"400115",2015,"Catalyst-Maria Charter School",956.0,873.0,"Economically Disadvantaged"
"610148",2015,"Cesar E Chavez Multicultural Academic Center ES",959.0,949.0,"Economically Disadvantaged"
"609679",2015,"Charles Allen Prosser Career Academy High School",1476.0,1404.0,"Economically Disadvantaged"
"610005",2015,"Charles Evans Hughes Elementary School",308.0,304.0,"Economically Disadvantaged"
"609966",2015,"Charles G Hammond Elementary School",497.0,491.0,"Economically Disadvantaged"
"609879",2015,"Charles Gates Dawes Elementary School",1059.0,1025.0,"Economically Disadvantaged"
"610366",2015,"Charles H Wacker Elementary School",250.0,223.0,"Economically Disadvantaged"
"610030",2015,"Charles Kozminski Elementary Community Academy",362.0,333.0,"Economically Disadvantaged"
"609996",2015,"Charles N Holden Elementary School",545.0,527.0,"Economically Disadvantaged"
"609833",2015,"Charles P Caldwell Academy of Math & Science ES",300.0,264.0,"Economically Disadvantaged"
"609732",2015,"Charles P Steinmetz College Preparatory HS",1709.0,1599.0,"Economically Disadvantaged"
"609875",2015,"Charles R Darwin Elementary School",568.0,536.0,"Economically Disadvantaged"
"609986",2015,"Charles R Henderson Elementary School",338.0,329.0,"Economically Disadvantaged"
"609813",2015,"Charles S Brownell Elementary School",258.0,257.0,"Economically Disadvantaged"
"609883",2015,"Charles S Deneen Elementary School",619.0,612.0,"Economically Disadvantaged"
"610194",2015,"Charles Sumner  Math & Science Community Acad ES",312.0,297.0,"Economically Disadvantaged"
"609897",2015,"Charles W Earle Elementary School",516.0,508.0,"Economically Disadvantaged"
"610248",2015,"Chicago Academy Elementary School",612.0,482.0,"Economically Disadvantaged"
"610340",2015,"Chicago Academy High School",526.0,446.0,"Economically Disadvantaged"
"400161",2015,"Chicago Charter Collegiate HS",173.0,157.0,"Economically Disadvantaged"
"400147",2015,"Chicago Excel Academy",374.0,343.0,"Economically Disadvantaged"
"609753",2015,"Chicago High School for Agricultural Sciences",690.0,354.0,"Economically Disadvantaged"
"400022",2015,"Chicago High School for the Arts",577.0,296.0,"Economically Disadvantaged"
"400023",2015,"Chicago Intl Charter - Avalon / South Shore",402.0,382.0,"Economically Disadvantaged"
"400024",2015,"Chicago Intl Charter - Basil",634.0,608.0,"Economically Disadvantaged"
"400025",2015,"Chicago Intl Charter - Bucktown",675.0,563.0,"Economically Disadvantaged"
"400113",2015,"Chicago Intl Charter - Chicago Quest North",295.0,253.0,"Economically Disadvantaged"
"400027",2015,"Chicago Intl Charter - Irving Park",536.0,335.0,"Economically Disadvantaged"
"400108",2015,"Chicago Intl Charter - Larry Hawkins",237.0,225.0,"Economically Disadvantaged"
"400092",2015,"Chicago Intl Charter - Lloyd Bond",343.0,334.0,"Economically Disadvantaged"
