school_id,level,subject,tested,proficiency
609973,ES,reading,347,28.2
609974,ES,reading,411,91.7
609975,ES,reading,161,18.6
609976,ES,reading,517,32.7
609977,ES,reading,86,32.6
609978,ES,reading,210,21.4
609979,ES,reading,882,60.4
609981,ES,reading,126,15.1
609983,ES,reading,307,15
609985,ES,reading,120,9.2
609986,ES,reading,142,14.8
609987,ES,reading,96,13.5
609988,ES,reading,287,25.8
609990,ES,reading,486,60.7
609991,ES,reading,212,0.9
609993,ES,reading,212,17.5
609994,ES,reading,483,15.3
609995,ES,reading,344,34
609996,ES,reading,256,35.9
609997,ES,reading,93,6.5
610000,ES,reading,210,10.5
610002,ES,reading,149,25.5
610003,ES,reading,130,19.2
610004,ES,reading,120,17.5
610005,ES,reading,99,14.1
610006,ES,reading,487,32
610009,ES,reading,341,51.9
610010,ES,reading,114,36.8
610011,ES,reading,550,38.9
610013,ES,reading,163,9.8
610015,ES,reading,145,31
610016,ES,reading,189,52.4
610017,ES,reading,542,17.7
610019,ES,reading,105,21.9
610021,ES,reading,208,47.6
610022,ES,reading,481,22.5
610024,ES,reading,514,34
610026,ES,reading,440,68
610027,ES,reading,140,29.3
610029,ES,reading,125,3.2
610030,ES,reading,152,20.4
610032,ES,reading,174,26.4
610033,ES,reading,321,54.5
610034,ES,reading,132,6.8
610036,ES,reading,269,13.4
610037,ES,reading,148,18.2
610038,ES,reading,573,77
610039,ES,reading,397,33.8
610040,ES,reading,380,13.4
610041,ES,reading,714,22.5
610043,ES,reading,230,26.1
610044,ES,reading,177,19.8
610046,ES,reading,701,32.7
610047,ES,reading,138,8
610048,ES,reading,150,7.3
610051,ES,reading,519,11.2
610052,ES,reading,181,33.7
610053,ES,reading,630,18.6
610054,ES,reading,389,23.7
610055,ES,reading,110,16.4
610056,ES,reading,145,6.9
610057,ES,reading,318,9.1
610059,ES,reading,367,72.2
610060,ES,reading,297,56.9
610062,ES,reading,175,29.7
610063,ES,reading,198,7.6
610065,ES,reading,187,5.3
610066,ES,reading,133,86.5
610067,ES,reading,344,13.1
610068,ES,reading,659,19.9
610070,ES,reading,327,30.9
610073,ES,reading,235,53.2
610074,ES,reading,379,19
610076,ES,reading,250,20
610077,ES,reading,355,15.2
610078,ES,reading,396,44.7
610081,ES,reading,351,67.5
610082,ES,reading,713,69.8
610084,ES,reading,164,97.6
610086,ES,reading,145,27.6
610088,ES,reading,306,21.6
610089,ES,reading,273,35.5
610090,ES,reading,309,40.5
610091,ES,reading,193,32.6
610092,ES,reading,127,10.2
610093,ES,reading,102,30.4
610094,ES,reading,341,65.1
610095,ES,reading,211,29.9
610096,ES,reading,604,25.3
610097,ES,reading,341,8.5
610098,ES,reading,403,21.1
610099,ES,reading,227,54.6
610100,ES,reading,283,31.4
610101,ES,reading,520,20.4
610102,ES,reading,186,11.8
610103,ES,reading,343,14.6
610104,ES,reading,416,46.9
610105,ES,reading,372,62.4
610106,ES,reading,391,11.8
610107,ES,reading,190,15.8
610108,ES,reading,198,13.6
610109,ES,reading,155,26.5
610110,ES,reading,175,40
610111,ES,reading,453,36.9
610112,ES,reading,214,15.9
610115,ES,reading,164,14
610116,ES,reading,141,20.6
610117,ES,reading,188,30.9
610120,ES,reading,254,27.2
610121,ES,reading,182,21.4
610122,ES,reading,528,43.6
610123,ES,reading,100,10
610124,ES,reading,151,32.5
610125,ES,reading,291,26.8
610126,ES,reading,265,16.2
610127,ES,reading,591,37.9
610128,ES,reading,138,29.7
610129,ES,reading,219,35.6
610130,ES,reading,92,12
610131,ES,reading,69,23.2
610132,ES,reading,141,85.8
610133,ES,reading,163,6.7
610135,ES,reading,520,27.7
610136,ES,reading,239,79.5
610137,ES,reading,440,33.6
610138,ES,reading,545,51.4
610139,ES,reading,216,18.5
610141,ES,reading,331,67.1
610142,ES,reading,365,20
610143,ES,reading,150,6
610144,ES,reading,370,21.9
610145,ES,reading,401,27.7
610146,ES,reading,127,1.6
610147,ES,reading,440,50.9
610148,ES,reading,477,41.3
610152,ES,reading,212,25.9
610153,ES,reading,160,23.8
610155,ES,reading,395,66.6
610157,ES,reading,640,19.1
610158,ES,reading,239,29.3
610159,ES,reading,403,26.1
610165,ES,reading,274,11.3
610167,ES,reading,272,12.9
610170,ES,reading,447,42.1
610171,ES,reading,288,14.9
610172,ES,reading,135,15.6
610173,ES,reading,109,13.8
610174,ES,reading,167,14.4
610175,ES,reading,197,22.3
610176,ES,reading,254,20.5
610177,ES,reading,654,67.7
610178,ES,reading,89,22.5
610179,ES,reading,502,34.1
610180,ES,reading,209,6.7
610182,ES,reading,171,56.7
610183,ES,reading,254,8.7
610184,ES,reading,212,19.3
610185,ES,reading,689,27.1
610188,ES,reading,110,34.5
610191,ES,reading,382,66
610192,ES,reading,337,11.3
610193,ES,reading,206,16.5
610194,ES,reading,129,41.1
610195,ES,reading,424,40.1
610196,ES,reading,311,23.2
610197,ES,reading,296,24.3
610198,ES,reading,219,18.7
610199,ES,reading,107,28
610200,ES,reading,140,17.1
610201,ES,reading,542,56.6
610202,ES,reading,159,6.9
610203,ES,reading,344,30.8
610206,ES,reading,605,51.7
610207,ES,reading,162,20.4
610208,ES,reading,220,15.9
610209,ES,reading,441,9.1
610212,ES,reading,232,25.4
610213,ES,reading,284,21.8
610215,ES,reading,250,19.6
610216,ES,reading,147,16.3
610217,ES,reading,314,48.1
610218,ES,reading,172,26.2
610219,ES,reading,397,48.1
610220,ES,reading,402,55.2
610221,ES,reading,119,21.8
610223,ES,reading,204,5.9
610225,ES,reading,140,27.9
610226,ES,reading,348,19.5
610227,ES,reading,394,23.1
610228,ES,reading,152,8.6
610229,ES,reading,446,66.6
610230,ES,reading,293,60.1
610231,ES,reading,461,36.9
610234,ES,reading,180,17.8
610235,ES,reading,251,14.7
610237,ES,reading,156,9.6
610238,ES,reading,126,13.5
610239,ES,reading,325,11.4
610242,ES,reading,261,15.3
610246,ES,reading,544,37.7
610248,ES,reading,340,33.5
610249,ES,reading,207,34.8
610250,ES,reading,220,10.5
610251,ES,reading,194,16
610252,ES,reading,138,2.9
610254,ES,reading,201,9.5
610256,ES,reading,26,3.8
610257,ES,reading,142,19.7
610263,ES,reading,387,6.5
610268,ES,reading,218,12.8
610269,ES,reading,164,22
610271,ES,reading,178,23.6
610274,ES,reading,125,15.2
610276,ES,reading,157,4.5
610279,ES,reading,157,10.2
610281,ES,reading,375,7.2
610282,ES,reading,176,9.1
610284,ES,reading,169,22.5
610287,ES,reading,185,33
