StateAssignedSchID,Subject,GradeLevel,StudentSubGroup_TotalTested,ProficientOrAbove_percent
010690110262003,math,G05,16,.125
010690270260001,ela,G07,33,.303
010690270260001,ela,G08,28,.321
010690270260001,math,G07,33,.242
010690270260001,math,G08,28,.214
010690270262002,ela,G03,21,.667
010690270262002,ela,G04,15,.734
010690270262002,ela,G05,36,.528
010690270262002,ela,G06,29,.69
010690270262002,math,G03,21,.428
010690270262002,math,G04,15,.8
010690270262002,math,G05,36,.527
010690270262002,math,G06,29,.62
010691170221013,ela,G06,218,.441
010691170221013,ela,G07,223,.287
010691170221013,ela,G08,197,.326
010691170221013,math,G06,217,.138
010691170221013,math,G07,222,.189
010691170221013,math,G08,196,.205
010691170222001,ela,G03,56,.339
010691170222001,ela,G04,63,.333
010691170222001,ela,G05,50,.42
010691170222001,math,G03,56,.553
010691170222001,math,G04,63,.333
010691170222001,math,G05,50,.4
010691170222005,ela,G03,37,.139
010691170222005,ela,G04,47,.404
010691170222005,ela,G05,40,.15
010691170222005,math,G03,37,.111
010691170222005,math,G04,47,.255
010691170222005,math,G05,40,.05
010691170222006,ela,G03,53,.189
010691170222006,ela,G04,38,.289
010691170222006,ela,G05,41,.244
010691170222006,math,G03,53,.094
010691170222006,math,G04,38,.132
010691170222006,math,G05,41,.024
010691170222007,ela,G03,50,.14
010691170222007,ela,G04,51,.24
010691170222007,ela,G05,44,.273
010691170222007,math,G03,50,.06
010691170222007,math,G04,51,.12
010691170222007,math,G05,43,.325
010691170222008,ela,G03,31,.194
010691170222008,ela,G04,16,.188
010691170222008,ela,G05,28,.179
010691170222008,math,G03,31,.226
010691170222008,math,G04,16,.25
010691170222008,math,G05,28,.179
010691170222009,ela,G03,12,.083
010691170222009,ela,G04,15,.267
010691170222009,ela,G05,19,.684
010691170222009,math,G03,12,.25
010691170222009,math,G04,15,.133
010691170222009,math,G05,19,.263
010750030262001,ela,G03,19,.053
010750030262001,ela,G04,24,.083
010750030262001,ela,G05,14,.142
010750030262001,ela,G06,26,.192
010750030262001,ela,G07,16,0
010750030262001,ela,G08,29,.172
010750030262001,math,G03,19,.053
010750030262001,math,G04,24,.042
010750030262001,math,G05,14,0
010750030262001,math,G06,26,0
010750030262001,math,G07,16,0
010750030262001,math,G08,29,.034
010750040261002,ela,G05,23,.478
010750040261002,ela,G06,27,.556
010750040261002,ela,G07,23,.434
010750040261002,ela,G08,17,.353
010750040261002,math,G05,23,.304
010750040261002,math,G06,27,.148
010750040261002,math,G07,23,.391
010750040261002,math,G08,17,.294
010750040262001,ela,G03,22,.364
010750040262001,ela,G04,26,.423
010750040262001,math,G03,22,.5
010750040262001,math,G04,26,.269
010750100262010,ela,G03,80,.075
010750100262010,ela,G04,68,.308
010750100262010,ela,G05,76,.184
010750100262010,ela,G06,69,.217
010750100262010,ela,G07,100,.09
010750100262010,ela,G08,90,.333
010750100262010,math,G03,81,.086
010750100262010,math,G04,68,.074
010750100262010,math,G05,76,.105
010750100262010,math,G06,69,.087
010750100262010,math,G07,100,.08
010750100262010,math,G08,90,.089
010750120261001,ela,G06,27,.518
010750120261001,ela,G07,27,.444
010750120261001,ela,G08,36,.5
010750120261001,math,G06,27,.148
010750120261001,math,G07,26,.308
010750120261001,math,G08,36,.194
010750120262001,ela,G03,37,.297
010750120262001,ela,G04,29,.275
010750120262001,ela,G05,38,.474
010750120262001,math,G03,37,.405
010750120262001,math,G04,29,.207
010750120262001,math,G05,38,.237
010860010262002,ela,G03,49,.184
010860010262002,ela,G04,31,.549
010860010262002,ela,G05,32,.469
010860010262002,ela,G06,44,.364
010860010262002,ela,G07,43,.349
010860010262002,ela,G08,38,.368
010860010262002,math,G03,49,.204
010860010262002,math,G04,31,.645
010860010262002,math,G05,32,.344
010860010262002,math,G06,44,.182
010860010262002,math,G07,43,.07
010860010262002,math,G08,38,.026
010860020261001,ela,G06,14,.357
010860020261001,ela,G07,13,.769
010860020261001,ela,G08,14,.857
010860020261001,math,G06,14,.071
010860020261001,math,G07,13,.077
010860020261001,math,G08,14,.143
010860020262001,ela,G03,*,--
010860020262001,ela,G04,*,--
010860020262001,ela,G05,10,.5
010860020262001,math,G03,*,--
010860020262001,math,G04,*,--
010860020262001,math,G05,10,.1
030030010261001,ela,G06,24,.417
030030010261001,ela,G07,17,.235
030030010261001,ela,G08,30,.4
030030010261001,math,G06,24,.167
030030010261001,math,G07,17,.059
030030010261001,math,G08,30,.267
030030010262001,ela,G03,24,.25
030030010262001,ela,G04,18,.278
030030010262001,ela,G05,24,.417
030030010262001,math,G03,24,.25
030030010262001,math,G04,18,.278
030030010262001,math,G05,24,.208
030030020261002,ela,G06,102,.706
030030020261002,ela,G07,80,.5
030030020261002,ela,G08,105,.524
030030020261002,math,G06,102,.264
030030020261002,math,G07,80,.15
030030020261002,math,G08,104,.26
030030020262003,ela,G03,89,.326
030030020262003,ela,G04,93,.301
030030020262003,ela,G05,92,.554
030030020262003,math,G03,89,.505
030030020262003,math,G04,92,.163
030030020262003,math,G05,92,.304
030030020262004,ela,G03,22,.455
030030020262004,ela,G04,15,.867
030030020262004,ela,G05,13,.385
030030020262004,ela,G06,19,.631
030030020262004,ela,G07,22,.545
030030020262004,ela,G08,26,.769
030030020262004,math,G03,22,.636
030030020262004,math,G04,15,.667
030030020262004,math,G05,13,.154
030030020262004,math,G06,19,0
030030020262004,math,G07,22,.363
030030020262004,math,G08,26,.192
030110010261001,ela,G07,27,.481
030110010261001,ela,G08,15,.467
030110010261001,math,G07,26,.231
030110010261001,math,G08,15,.333
030110010262001,ela,G03,13,.308
030110010262001,ela,G04,18,.278
030110010262001,ela,G05,14,.429
030110010262001,ela,G06,20,.4
030110010262001,math,G03,13,.615
030110010262001,math,G04,18,.278
030110010262001,math,G05,14,.286
030110010262001,math,G06,20,.1
030110030261005,ela,G05,139,.403
030110030261005,ela,G06,152,.638
030110030261005,ela,G07,166,.663
030110030261005,ela,G08,167,.73
030110030261005,math,G05,139,.172
030110030261005,math,G06,152,.283
030110030261005,math,G07,166,.343
030110030261005,math,G08,167,.18
030110030262001,ela,G03,140,.221
030110030262001,ela,G04,118,.288
030110030262001,math,G03,140,.265
030110030262001,math,G04,117,.171
030110040261001,ela,G06,19,.263
030110040261001,ela,G07,17,.235
030110040261001,ela,G08,21,.19
030110040261001,math,G06,19,.053
030110040261001,math,G07,17,.294
030110040261001,math,G08,21,0
030110040262001,ela,G03,17,.177
030110040262001,ela,G04,12,.25
030110040262001,ela,G05,16,0
030110040262001,math,G03,17,.235
030110040262001,math,G04,12,.083
030110040262001,math,G05,16,0
030110080261005,ela,G06,86,.511
030110080261005,ela,G07,71,.479
030110080261005,ela,G08,96,.687
030110080261005,math,G06,86,.36
030110080261005,math,G07,71,.338
030110080261005,math,G08,96,.375
030110080262001,ela,G03,63,.46
030110080262001,ela,G04,62,.354
030110080262001,ela,G05,81,.457
030110080262001,math,G03,63,.587
030110080262001,math,G04,62,.145
030110080262001,math,G05,81,.284
030110140240001,ela,G06,20,.25
030110140240001,ela,G07,21,.333
030110140240001,ela,G08,19,.474
030110140240001,math,G06,20,0
030110140240001,math,G07,21,.143
030110140240001,math,G08,19,.053
030110140242001,ela,G03,18,.056
030110140242001,ela,G04,25,.28
030110140242001,ela,G05,21,.143
030110140242001,math,G03,17,.059
030110140242001,math,G04,25,.04
